url,date,type,description,comments,state,creator
https://github.com/r-spatial/sf/pull/453,2017-08-28,pr,accepted to **sf** updating the behaviour of `aggregate.sf`,NA,NA,NA
https://github.com/r-spatial/sf/issues/470,2017-08-25,question,writing speed sqlite and GPKG compared to shapefile,28,closed,mkschneider
https://github.com/r-spatial/sf/pull/671,2018-03-14,documentation,for aggregate.sf,NA,NA,NA
https://github.com/ateucher/rmapshaper/issues/76,2018-04-14,NA,Inconsistent results with `sys=FALSE` and `sys=TRUE`.,18,open,Nowosad
https://github.com/r-spatial/sf/issues/704,2018-04-15,issue,sf seems to reset mfrow,2,closed,Robinlovelace
https://github.com/sjewo/cartogram/pull/9,2018-04-18,pr,sf performance improvements,NA,NA,NA
https://github.com/mtennekes/tmap/issues/186,2018-04-23,issue,The tmap_arrange example fails,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/190,2018-04-25,issue,NAs in a facet map,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/191,2018-04-29,issue,The output map with a raster layer has smaller margins.,0,open,Nowosad
https://github.com/jbaileyh/geogrid/pull/25,2018-04-30,pr,accepted to **geogrid** sf support by objects conversion,NA,NA,NA
https://github.com/mtennekes/tmap/issues/196,2018-05-11,issue,Line plot fails when in view mode,0,closed,Robinlovelace
https://github.com/mtennekes/tmap/issues/202,2018-05-20,issue,Possibility of saving the output of `tmap_arrange()` to a file,0,open,Nowosad
https://github.com/r-spatial/sf/issues/755,2018-05-25,issue,Problem with plotting `sf_POINT`,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/204,2018-05-26,issue,Categorical raster plot,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/206,2018-05-26,issue,How to create a tmap style?,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/215,2018-06-09,issue,Plot of the GEOMETRY geometry type,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/228,2018-07-10,issue,non-standard projections do not work,0,open,Nowosad
https://github.com/r-lib/pkgdown/issues/783,2018-08-13,issue,pkgdown consumed a huge amount (10+GB) of RAM on build_site(),5,open,Robinlovelace
https://github.com/jbaileyh/geogrid/pull/28,2018-09-02,pr,a set of improvemments to **geogrid**,NA,NA,NA
https://github.com/ateucher/rmapshaper/pull/80,2018-09-06,pr,rmapshaper units support,NA,NA,NA

